"2017-06-21 15:25:57","ajp-nio-8889-exec-5 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:25:57","ajp-nio-8889-exec-1 | u:admin","0.154","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:26:40","ajp-nio-8889-exec-4 | u:admin","0.023","Load Rich Page for preview","CAPA/_default/Home (null, 9)"
"2017-06-21 15:26:40","ajp-nio-8889-exec-9 | u:admin","0.054","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client13_iw_1"
"2017-06-21 15:26:40","ajp-nio-8889-exec-2 | u:admin","0.053","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client16_iw_1"
"2017-06-21 15:26:40","ajp-nio-8889-exec-10 | u:admin","0.056","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptBlock/polarion_client11"
"2017-06-21 15:26:40","ajp-nio-8889-exec-7 | u:admin","0.054","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client5_iw_1"
"2017-06-21 15:26:40","ajp-nio-8889-exec-6 | u:admin","0.021","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client9_iw_1"
"2017-06-21 15:26:40","ajp-nio-8889-exec-5 | u:admin","0.030","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.activityStream/polarion_client1"
"2017-06-21 15:26:42","ajp-nio-8889-exec-3 | u:admin | uri:/polarion/wiki/bin/view/project/CAPA/page/?service=Overview","0.084","Load Wiki Page","/Panels/WikiOverview (null)"
"2017-06-21 15:26:44","ajp-nio-8889-exec-5 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:26:45","ajp-nio-8889-exec-8 | u:admin","0.140","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:27:07","ajp-nio-8889-exec-4 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:27:07","ajp-nio-8889-exec-9 | u:admin","0.157","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:35:53","ajp-nio-8889-exec-3 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:35:54","ajp-nio-8889-exec-4 | u:admin","0.233","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:39:25","ajp-nio-8889-exec-2 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:39:25","ajp-nio-8889-exec-10 | u:admin","0.173","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:40:22","ajp-nio-8889-exec-6 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:40:22","ajp-nio-8889-exec-5 | u:admin","0.176","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:41:06","ajp-nio-8889-exec-8 | u:admin","0.015","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:41:06","ajp-nio-8889-exec-3 | u:admin","0.181","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:47:38","ajp-nio-8889-exec-3 | u:admin | uri:/polarion/wiki/bin/view/page/Home","0.084","Load Wiki Page","/_default/Home (1)"
"2017-06-21 15:59:46","ajp-nio-8889-exec-3 | u:admin","0.017","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:59:47","ajp-nio-8889-exec-4 | u:admin","0.124","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 16:05:25","ajp-nio-8889-exec-7 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 16:05:26","ajp-nio-8889-exec-3 | u:admin","0.104","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 16:06:52","ajp-nio-8889-exec-4 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 16:06:52","ajp-nio-8889-exec-10 | u:admin","0.071","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 16:07:39","ajp-nio-8889-exec-2 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 16:07:39","ajp-nio-8889-exec-5 | u:admin","0.139","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 16:09:40","ajp-nio-8889-exec-7 | u:admin","0.015","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 16:09:40","ajp-nio-8889-exec-3 | u:admin","0.151","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 17:44:34","ajp-nio-8889-exec-3 | u:admin","0.017","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 17:44:34","ajp-nio-8889-exec-9 | u:admin","0.159","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 17:46:41","ajp-nio-8889-exec-7 | u:admin","0.044","Load Rich Page for preview","CAPA/_default/Home (null, 9)"
"2017-06-21 17:46:41","ajp-nio-8889-exec-4 | u:admin","0.021","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptBlock/polarion_client11"
"2017-06-21 17:46:41","ajp-nio-8889-exec-10 | u:admin","0.024","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client13_iw_1"
"2017-06-21 17:46:41","ajp-nio-8889-exec-6 | u:admin","0.023","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client16_iw_1"
"2017-06-21 17:46:41","ajp-nio-8889-exec-2 | u:admin","0.023","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client5_iw_1"
"2017-06-21 17:46:41","ajp-nio-8889-exec-5 | u:admin","0.022","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client9_iw_1"
"2017-06-21 17:46:41","ajp-nio-8889-exec-1 | u:admin","0.045","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.activityStream/polarion_client1"
"2017-06-21 17:46:43","ajp-nio-8889-exec-3 | u:admin","0.013","Load Work Item for preview","CAPA/CAPA-8 (null, 9)"
"2017-06-21 17:49:57","ajp-nio-8889-exec-5 | u:admin","0.078","Load Work Item for preview","CAPA/CAPA-5 (null, 9)"
"2017-06-21 17:52:10","ajp-nio-8889-exec-3 | u:admin","0.041","Load Work Item for editing","CAPA/CAPA-5 (null, 9)"
"2017-06-21 17:52:16","ajp-nio-8889-exec-1 | u:admin","0.012","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 17:52:17","ajp-nio-8889-exec-7 | u:admin","0.069","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 17:53:56","ajp-nio-8889-exec-10 | u:admin","0.012","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 17:53:56","ajp-nio-8889-exec-6 | u:admin","0.151","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 17:56:09","ajp-nio-8889-exec-5 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 17:56:10","ajp-nio-8889-exec-2 | u:admin","0.158","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 17:56:32","ajp-nio-8889-exec-3 | u:admin","0.011","Load Work Item for preview","CAPA/CAPA-8 (null, 9)"
"2017-06-21 17:56:51","ajp-nio-8889-exec-8 | u:admin","0.015","Load Work Item for editing","CAPA/CAPA-8 (null, 9)"
"2017-06-21 17:57:39","ajp-nio-8889-exec-10 | u:admin","0.011","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 17:57:39","ajp-nio-8889-exec-6 | u:admin","0.159","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:11:08","ajp-nio-8889-exec-9 | u:admin","0.015","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:11:08","ajp-nio-8889-exec-1 | u:admin","0.153","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:11:43","ajp-nio-8889-exec-9 | u:admin","0.015","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:11:44","ajp-nio-8889-exec-8 | u:admin","0.150","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:13:35","ajp-nio-8889-exec-10 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:13:35","ajp-nio-8889-exec-2 | u:admin","0.093","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:14:15","ajp-nio-8889-exec-1 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:14:15","ajp-nio-8889-exec-9 | u:admin","0.120","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:14:40","ajp-nio-8889-exec-1 | u:admin","0.035","Load Work Item for preview","CAPA/CAPA-8 (null, 9)"
"2017-06-21 18:14:40","ajp-nio-8889-exec-6 | u:admin","0.015","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:14:40","ajp-nio-8889-exec-10 | u:admin","0.209","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:23:54","ajp-nio-8889-exec-4 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:23:55","ajp-nio-8889-exec-6 | u:admin","0.185","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:25:07","ajp-nio-8889-exec-7 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:25:07","ajp-nio-8889-exec-10 | u:admin","0.159","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:31:05","ajp-nio-8889-exec-9 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:31:05","ajp-nio-8889-exec-5 | u:admin","0.167","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:32:56","ajp-nio-8889-exec-3 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:32:56","ajp-nio-8889-exec-4 | u:admin","0.142","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:46:05","ajp-nio-8889-exec-4 | u:admin | uri:/polarion/wiki/bin/view/page/Home","0.199","Load Wiki Page","/_default/Home (1)"
"2017-06-21 18:46:08","ajp-nio-8889-exec-7 | u:admin","0.004","Load Projects Tree",""
"2017-06-21 18:50:35","ajp-nio-8889-exec-8 | u:admin","0.024","Load Work Item for preview","CAPA/CAPA-8 (null, 9)"
"2017-06-21 18:50:36","ajp-nio-8889-exec-2 | u:admin","0.018","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:50:36","ajp-nio-8889-exec-10 | u:admin","0.174","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:51:40","ajp-nio-8889-exec-4 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 18:51:40","ajp-nio-8889-exec-5 | u:admin","0.145","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 18:56:52","ajp-nio-8889-exec-6 | u:admin","0.029","Load Projects Tree",""
"2017-06-21 18:56:57","ajp-nio-8889-exec-5 | u:admin","0.049","Load Rich Page for preview","MyPolarion/_default/Home (null, 45)"
"2017-06-21 18:56:57","ajp-nio-8889-exec-1 | u:admin","0.033","Render Widget for preview","MyPolarion/_default/Home (null, 45)/com.polarion.scriptInline/polarion_client13_iw_1"
"2017-06-21 18:56:57","ajp-nio-8889-exec-2 | u:admin","0.015","Render Widget for preview","MyPolarion/_default/Home (null, 45)/com.polarion.scriptInline/polarion_client5_iw_1"
"2017-06-21 18:56:57","ajp-nio-8889-exec-7 | u:admin","0.036","Render Widget for preview","MyPolarion/_default/Home (null, 45)/com.polarion.scriptInline/polarion_client16_iw_1"
"2017-06-21 18:56:57","ajp-nio-8889-exec-6 | u:admin","0.052","Render Widget for preview","MyPolarion/_default/Home (null, 45)/com.polarion.scriptBlock/polarion_client11"
"2017-06-21 18:56:57","ajp-nio-8889-exec-10 | u:admin","0.030","Render Widget for preview","MyPolarion/_default/Home (null, 45)/com.polarion.scriptInline/polarion_client9_iw_1"
"2017-06-21 18:56:57","ajp-nio-8889-exec-9 | u:admin","0.051","Render Widget for preview","MyPolarion/_default/Home (null, 45)/com.polarion.activityStream/polarion_client1"
"2017-06-21 18:56:59","ajp-nio-8889-exec-5 | u:admin | uri:/polarion/wiki/bin/view/project/MyPolarion/page/?service=Overview","0.158","Load Wiki Page","/Panels/WikiOverview (null)"
"2017-06-21 18:57:02","ajp-nio-8889-exec-3 | u:admin","0.457","Load Work Item for preview","MyPolarion/MP-5373 (null, 3)"
"2017-06-21 18:57:03","ajp-nio-8889-exec-9 | u:admin | uri:/polarion/wiki/bin/view/project/MyPolarion/page/?service=Overview","0.178","Load Wiki Page","/Panels/WikiOverview (null)"
"2017-06-21 18:57:09","ajp-nio-8889-exec-5 | u:admin","2.071","Load Document","MyPolarion/Training Materials/Advanced Wiki Training (null, 3)"
"2017-06-21 19:02:20","ajp-nio-8889-exec-9 | u:admin","0.015","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 19:02:20","ajp-nio-8889-exec-3 | u:admin","0.147","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 19:10:25","ajp-nio-8889-exec-8 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 19:10:25","ajp-nio-8889-exec-4 | u:admin","0.140","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 19:10:54","ajp-nio-8889-exec-9 | u:admin","0.012","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 19:10:54","ajp-nio-8889-exec-7 | u:admin","0.139","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 19:12:07","ajp-nio-8889-exec-10 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 19:12:07","ajp-nio-8889-exec-5 | u:admin","0.141","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 19:12:47","ajp-nio-8889-exec-6 | u:admin","0.012","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 19:12:47","ajp-nio-8889-exec-4 | u:admin","0.153","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 19:13:08","ajp-nio-8889-exec-9 | u:admin","0.026","Load Rich Page for preview","CAPA/_default/Home (null, 9)"
"2017-06-21 19:13:08","ajp-nio-8889-exec-3 | u:admin","0.017","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptBlock/polarion_client11"
"2017-06-21 19:13:08","ajp-nio-8889-exec-8 | u:admin","0.019","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client16_iw_1"
"2017-06-21 19:13:08","ajp-nio-8889-exec-2 | u:admin","0.017","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client5_iw_1"
"2017-06-21 19:13:08","ajp-nio-8889-exec-4 | u:admin","0.023","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client13_iw_1"
"2017-06-21 19:13:08","ajp-nio-8889-exec-1 | u:admin","0.026","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.scriptInline/polarion_client9_iw_1"
"2017-06-21 19:13:08","ajp-nio-8889-exec-5 | u:admin","0.031","Render Widget for preview","CAPA/_default/Home (null, 9)/com.polarion.activityStream/polarion_client1"
"2017-06-21 19:13:10","ajp-nio-8889-exec-6 | u:admin","0.017","Load Work Item for preview","CAPA/CAPA-8 (null, 9)"
"2017-06-21 19:13:28","ajp-nio-8889-exec-4 | u:admin","0.687","Save Work Item","CAPA/CAPA-9 (null, null)"
"2017-06-21 19:13:29","ajp-nio-8889-exec-3 | u:admin","0.015","Load Work Item for editing","CAPA/CAPA-9 (null, 53)"
"2017-06-21 19:13:37","ajp-nio-8889-exec-4 | u:admin","1.605","Save Work Item","CAPA/CAPA-9 (null, 53)"
"2017-06-21 19:13:38","ajp-nio-8889-exec-6 | u:admin","0.024","Load Work Item for editing","CAPA/CAPA-9 (null, 54)"
"2017-06-21 19:13:50","ajp-nio-8889-exec-8 | u:admin","0.012","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 19:13:50","ajp-nio-8889-exec-7 | u:admin","0.147","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
